timestamp,model_name,env_name,instruction,action_path,step_count,final_score
2026-01-09_22:45:33,llama-3.3-70b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 2]",2,0
2026-01-09_22:45:49,llama-3.3-70b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 2]",3,0
2026-01-09_22:46:01,llama-3.3-70b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 2]",4,0
2026-01-09_22:46:28,llama-3.3-70b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:46:49,llama-3.3-70b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:47:17,llama-3.3-70b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:47:41,llama-3.3-70b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:48:05,llama-3.3-70b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:48:26,llama-3.3-70b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:49:00,llama-3.3-70b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:49:27,llama-3.3-70b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:49:58,llama-3.3-70b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:50:25,llama-3.3-70b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:50:55,llama-3.3-70b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:51:19,llama-3.3-70b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:51:53,llama-3.3-70b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:52:26,llama-3.3-70b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
