timestamp,model_name,env_name,instruction,action_path,step_count,final_score
2026-01-09_22:47:17,qwen2.5-7b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:47:33,qwen2.5-7b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 1, 2, 2, 2, 2]",9,1.0
2026-01-09_22:47:46,qwen2.5-7b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:47:59,qwen2.5-7b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:48:13,qwen2.5-7b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:48:25,qwen2.5-7b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:48:37,qwen2.5-7b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:48:52,qwen2.5-7b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:49:05,qwen2.5-7b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:49:17,qwen2.5-7b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:49:30,qwen2.5-7b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:49:42,qwen2.5-7b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:49:56,qwen2.5-7b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:50:09,qwen2.5-7b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:50:24,qwen2.5-7b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:50:40,qwen2.5-7b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
2026-01-09_22:50:52,qwen2.5-7b-instruct,frozenlake,"Destinations: [(4, 4)]; Map: [['S', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'H', 'H', 'H', 'H'], ['F', 'F', 'F', 'F', 'G']]","[1, 1, 1, 1, 2, 2, 2, 2]",8,1.0
