Qwen2.5-7B,,,,,,,,,
,webshop,,,frozen lake,,,mountain car,,
,env0,env1,env2,env0,env1,env2,env0,env1,env2
no-memory,0.7000,0.0500,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
vanilla,0.6750,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
vanilla-glove,0.9500,0.7375,0.7500,1.0000,0.8000,0.7500,0.0000,0.0000,0.0000
memorybank,1.0000,0.2875,0.0875,1.0000,0.2500,0.0000,0.0000,0.0000,0.0000
memorybank-glove,1.0000,0.1500,0.3625,1.0000,0.8000,0.7500,0.0000,0.0000,0.0000
voyager,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
voyager-glove,1.0000,0.8375,0.8375,1.0000,0.7500,0.5000,0.0000,0.0000,0.0000
generative,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
generative-glove,1.0000,0.7750,0.6750,1.0000,0.8000,0.7500,0.0000,0.0000,0.0000
